TradeID,CustomerID,CustomerName,Stock,TransactionType,Quantity,Price,TradeDate,Broker
28,C122,Customer4,INFY,BUY,82,3487,2025-04-17,Groww
29,C113,Customer14,INFY,BUY,43,2103,2025-04-25,Zerodha
30,C116,Customer10,INFY,BUY,17,1841,2025-02-22,Upstox
31,C119,Customer9,TCS,BUY,25,2576,2025-06-25,Upstox
32,C111,Customer25,INFY,BUY,56,2788,2025-02-20,Upstox
33,C112,Customer9,RELIANCE,SELL,79,1836,2025-01-10,Upstox
34,C102,Customer15,HDFCBANK,BUY,37,1760,2025-06-26,Zerodha
35,C111,Customer6,HDFCBANK,BUY,9,863,2025-02-27,Zerodha
36,C122,Customer24,ICICI,BUY,26,2473,2025-02-24,Upstox
37,C114,Customer15,ICICI,BUY,4,3383,2025-02-05,Groww
38,C113,Customer12,RELIANCE,BUY,80,981,2025-05-28,Groww
39,C114,Customer10,TCS,SELL,99,2173,2025-02-10,Upstox
40,C121,Customer8,INFY,BUY,8,1012,2025-03-03,Upstox
41,C102,Customer22,RELIANCE,SELL,70,3278,2025-04-07,Upstox
42,C116,Customer5,INFY,SELL,40,3301,2025-05-24,Zerodha
43,C113,Customer19,ICICI,BUY,15,2622,2025-06-16,Groww
44,C115,Customer10,RELIANCE,SELL,22,2391,2025-06-11,Zerodha
45,C123,Customer11,ICICI,SELL,99,3314,2025-06-20,Zerodha
46,C109,Customer21,INFY,BUY,93,2119,2025-03-21,Groww
47,C108,Customer18,RELIANCE,SELL,3,1544,2025-05-02,Zerodha
48,C108,Customer8,HDFCBANK,BUY,54,575,2025-06-28,Groww
49,C123,Customer8,HDFCBANK,BUY,70,1830,2025-06-26,Groww
50,C118,Customer9,INFY,SELL,21,2838,2025-01-03,Upstox
51,C107,Customer1,ICICI,SELL,51,2590,2025-02-09,Zerodha
52,C118,Customer14,TCS,SELL,15,1100,2025-06-07,Upstox
53,C114,Customer6,ICICI,SELL,20,1143,2025-03-14,Groww
54,C108,Customer24,HDFCBANK,BUY,42,1890,2025-05-08,Zerodha
55,C120,Customer8,HDFCBANK,BUY,24,2519,2025-02-03,Zerodha
56,C103,Customer5,ICICI,SELL,75,2228,2025-06-11,Zerodha
57,C102,Customer25,RELIANCE,SELL,63,2844,2025-01-02,Zerodha
58,C120,Customer2,RELIANCE,BUY,41,1399,2025-03-18,Upstox
59,C105,Customer20,HDFCBANK,SELL,69,2658,2025-05-31,Upstox
60,C119,Customer4,RELIANCE,BUY,99,562,2025-06-24,Upstox
61,C117,Customer21,RELIANCE,BUY,16,1120,2025-05-05,Groww
62,C102,Customer15,TCS,BUY,57,1072,2025-03-30,Zerodha
63,C121,Customer24,HDFCBANK,SELL,18,3018,2025-03-27,Groww
64,C105,Customer22,ICICI,BUY,84,1695,2025-03-12,Upstox
65,C101,Customer9,TCS,SELL,93,2588,2025-05-15,Upstox
66,C101,Customer13,ICICI,SELL,29,1426,2025-05-18,Upstox
67,C114,Customer13,HDFCBANK,SELL,73,2992,2025-03-27,Groww
68,C111,Customer18,HDFCBANK,BUY,16,3633,2025-05-13,Upstox
69,C106,Customer24,HDFCBANK,BUY,46,509,2025-06-22,Groww
70,C117,Customer18,TCS,SELL,44,889,2025-06-05,Zerodha
71,C124,Customer21,TCS,SELL,66,1070,2025-01-04,Upstox
72,C107,Customer4,ICICI,BUY,18,3035,2025-03-16,Zerodha
73,C120,Customer1,RELIANCE,BUY,65,2350,2025-05-18,Upstox
74,C117,Customer2,INFY,SELL,51,2838,2025-04-18,Zerodha
75,C117,Customer19,HDFCBANK,BUY,44,1387,2025-01-26,Groww
76,C114,Customer24,INFY,SELL,1,1798,2025-05-26,Upstox
77,C111,Customer19,HDFCBANK,SELL,72,3295,2025-06-12,Groww
78,C101,Customer20,TCS,SELL,74,2259,2025-02-01,Upstox
79,C106,Customer1,HDFCBANK,BUY,72,1928,2025-05-22,Zerodha
80,C108,Customer24,HDFCBANK,SELL,68,1751,2025-03-21,Zerodha
81,C125,Customer21,TCS,SELL,33,3176,2025-01-28,Zerodha
82,C123,Customer23,HDFCBANK,SELL,79,1987,2025-03-20,Upstox
83,C109,Customer9,HDFCBANK,SELL,84,1431,2025-04-29,Upstox
84,C106,Customer8,ICICI,BUY,65,2436,2025-01-29,Zerodha
85,C124,Customer3,INFY,BUY,50,3846,2025-05-08,Zerodha
86,C114,Customer22,HDFCBANK,SELL,42,1244,2025-01-27,Groww
87,C116,Customer12,HDFCBANK,BUY,52,3814,2025-01-26,Groww
88,C108,Customer18,RELIANCE,SELL,42,3944,2025-06-19,Zerodha
89,C118,Customer6,INFY,SELL,63,1645,2025-01-26,Upstox
90,C123,Customer5,RELIANCE,SELL,19,3539,2025-02-21,Upstox
91,C120,Customer23,TCS,SELL,36,3981,2025-05-13,Groww
92,C110,Customer6,TCS,SELL,61,3951,2025-06-14,Upstox
93,C114,Customer25,HDFCBANK,SELL,83,1269,2025-04-22,Zerodha
94,C115,Customer4,INFY,BUY,45,679,2025-01-22,Groww
95,C122,Customer24,INFY,SELL,46,2277,2025-05-23,Zerodha
96,C108,Customer4,HDFCBANK,SELL,62,2965,2025-06-22,Groww
97,C124,Customer14,HDFCBANK,BUY,28,1661,2025-04-28,Upstox
98,C121,Customer19,ICICI,BUY,41,3475,2025-05-24,Upstox
99,C119,Customer8,TCS,BUY,36,3771,2025-02-15,Zerodha
100,C111,Customer23,HDFCBANK,BUY,90,3901,2025-05-03,Zerodha
101,C123,Customer14,RELIANCE,SELL,77,3629,2025-06-09,Groww
102,C105,Customer15,RELIANCE,BUY,47,3150,2025-02-17,Zerodha
103,C124,Customer5,ICICI,SELL,35,3668,2025-05-28,Groww
104,C112,Customer3,RELIANCE,SELL,46,3211,2025-03-21,Groww
105,C122,Customer14,TCS,SELL,68,1561,2025-02-04,Groww
106,C116,Customer13,HDFCBANK,SELL,21,3909,2025-04-29,Groww
107,C113,Customer1,HDFCBANK,BUY,75,1875,2025-06-10,Groww
108,C122,Customer12,ICICI,BUY,58,1677,2025-02-09,Upstox
109,C114,Customer4,RELIANCE,BUY,22,2723,2025-05-05,Zerodha
110,C110,Customer25,HDFCBANK,BUY,6,2101,2025-04-30,Groww
111,C120,Customer2,RELIANCE,BUY,61,1813,2025-03-05,Upstox
112,C114,Customer24,ICICI,SELL,78,926,2025-03-06,Zerodha
113,C104,Customer2,RELIANCE,BUY,22,3997,2025-06-06,Zerodha
114,C113,Customer19,HDFCBANK,BUY,93,3376,2025-04-03,Zerodha
115,C119,Customer2,RELIANCE,BUY,29,1736,2025-06-09,Groww
116,C107,Customer23,RELIANCE,BUY,80,853,2025-04-10,Upstox
117,C106,Customer16,INFY,SELL,20,1626,2025-01-04,Groww
118,C109,Customer20,TCS,SELL,95,2515,2025-01-11,Upstox
119,C101,Customer12,HDFCBANK,SELL,8,1657,2025-06-28,Upstox
120,C108,Customer14,TCS,SELL,5,2563,2025-02-08,Groww
121,C119,Customer12,RELIANCE,BUY,42,1768,2025-06-16,Upstox
122,C108,Customer22,ICICI,SELL,15,3582,2025-05-01,Upstox
123,C123,Customer1,INFY,BUY,65,1536,2025-05-10,Zerodha
124,C114,Customer5,RELIANCE,SELL,9,758,2025-02-20,Upstox
125,C112,Customer18,TCS,SELL,80,2205,2025-01-07,Zerodha
126,C116,Customer1,HDFCBANK,BUY,94,2189,2025-03-03,Zerodha
127,C115,Customer5,INFY,BUY,23,3239,2025-04-02,Zerodha
128,C120,Customer3,ICICI,SELL,38,751,2025-01-22,Groww
129,C101,Customer24,INFY,BUY,76,3816,2025-03-10,Upstox
130,C112,Customer4,ICICI,BUY,79,3448,2025-03-02,Upstox
131,C115,Customer5,RELIANCE,BUY,64,2752,2025-01-17,Upstox
132,C108,Customer10,TCS,BUY,53,733,2025-03-19,Zerodha
133,C102,Customer5,TCS,SELL,30,1143,2025-01-22,Upstox
134,C118,Customer14,HDFCBANK,BUY,55,3021,2025-04-22,Groww
135,C115,Customer21,TCS,BUY,45,2421,2025-02-11,Upstox
136,C110,Customer4,TCS,BUY,9,2987,2025-05-25,Upstox
137,C120,Customer15,TCS,BUY,11,3078,2025-02-24,Upstox
138,C108,Customer2,ICICI,SELL,72,1901,2025-04-28,Upstox
139,C116,Customer15,TCS,SELL,81,2503,2025-04-24,Zerodha
140,C115,Customer2,RELIANCE,BUY,66,3516,2025-03-04,Groww
141,C102,Customer17,HDFCBANK,SELL,67,2996,2025-01-02,Upstox
142,C119,Customer17,TCS,SELL,63,2983,2025-03-20,Zerodha
143,C108,Customer3,HDFCBANK,SELL,98,2271,2025-04-02,Groww
144,C116,Customer4,HDFCBANK,SELL,53,3442,2025-06-24,Groww
145,C114,Customer19,RELIANCE,BUY,11,2543,2025-02-13,Upstox
146,C101,Customer12,ICICI,BUY,68,2637,2025-06-16,Upstox
147,C105,Customer8,ICICI,SELL,76,1004,2025-01-15,Zerodha
148,C103,Customer13,RELIANCE,SELL,5,3984,2025-06-03,Zerodha
149,C101,Customer10,ICICI,BUY,61,1141,2025-04-09,Groww
150,C107,Customer17,TCS,BUY,10,1929,2025-05-10,Upstox
151,C117,Customer25,ICICI,BUY,42,3751,2025-03-12,Zerodha
152,C110,Customer7,ICICI,SELL,83,3383,2025-05-09,Upstox
153,C122,Customer19,ICICI,BUY,90,3561,2025-05-02,Zerodha
154,C113,Customer13,ICICI,BUY,54,3778,2025-02-03,Zerodha
155,C124,Customer22,INFY,BUY,89,623,2025-06-02,Zerodha
156,C103,Customer16,RELIANCE,BUY,49,3366,2025-05-29,Upstox
157,C117,Customer2,ICICI,SELL,67,637,2025-04-21,Upstox
158,C117,Customer20,ICICI,SELL,84,3575,2025-05-12,Zerodha
159,C120,Customer5,RELIANCE,BUY,45,3489,2025-06-30,Zerodha
160,C114,Customer19,TCS,BUY,99,1629,2025-04-16,Upstox
161,C113,Customer11,TCS,BUY,31,2381,2025-06-21,Zerodha
162,C102,Customer23,INFY,SELL,80,1340,2025-01-14,Zerodha
163,C123,Customer2,HDFCBANK,SELL,11,2042,2025-03-27,Upstox
164,C105,Customer6,TCS,BUY,79,2713,2025-05-25,Upstox
165,C119,Customer24,TCS,SELL,30,2722,2025-01-06,Groww
166,C104,Customer1,HDFCBANK,SELL,90,964,2025-06-22,Zerodha
167,C109,Customer7,TCS,SELL,74,1451,2025-05-01,Groww
168,C105,Customer18,HDFCBANK,BUY,16,695,2025-01-14,Upstox
169,C119,Customer10,INFY,SELL,28,3493,2025-02-08,Groww
170,C106,Customer1,RELIANCE,BUY,95,1191,2025-03-01,Groww
171,C122,Customer21,RELIANCE,SELL,38,1876,2025-02-20,Upstox
172,C104,Customer1,TCS,BUY,99,895,2025-02-12,Zerodha
173,C105,Customer20,ICICI,BUY,91,3101,2025-03-03,Upstox
174,C112,Customer2,TCS,SELL,56,1366,2025-05-07,Zerodha
175,C115,Customer3,INFY,BUY,12,2204,2025-02-19,Zerodha
176,C119,Customer11,HDFCBANK,BUY,34,3853,2025-02-03,Zerodha
177,C121,Customer5,RELIANCE,SELL,28,1509,2025-05-29,Upstox
178,C115,Customer7,TCS,BUY,2,516,2025-02-12,Zerodha
179,C118,Customer21,ICICI,BUY,33,3388,2025-01-05,Upstox
180,C120,Customer1,RELIANCE,SELL,35,2080,2025-03-10,Upstox
181,C106,Customer5,RELIANCE,SELL,51,2362,2025-01-24,Upstox
182,C112,Customer7,INFY,SELL,51,1076,2025-01-17,Upstox
183,C119,Customer8,RELIANCE,SELL,77,611,2025-04-09,Zerodha
184,C120,Customer16,HDFCBANK,BUY,58,2998,2025-03-04,Upstox
185,C103,Customer4,ICICI,SELL,44,3785,2025-04-19,Zerodha
186,C125,Customer8,RELIANCE,SELL,26,3584,2025-01-06,Upstox
187,C120,Customer9,ICICI,SELL,40,2694,2025-05-20,Zerodha
188,C118,Customer21,HDFCBANK,BUY,43,3218,2025-05-05,Groww
189,C103,Customer8,ICICI,SELL,91,2149,2025-03-25,Upstox
190,C116,Customer23,ICICI,SELL,23,3768,2025-05-13,Upstox
191,C111,Customer15,TCS,SELL,53,2343,2025-02-07,Groww
192,C113,Customer18,RELIANCE,SELL,36,2681,2025-05-08,Upstox
193,C108,Customer15,TCS,BUY,11,2896,2025-05-24,Upstox
194,C116,Customer10,ICICI,BUY,12,3194,2025-01-08,Groww
195,C114,Customer6,HDFCBANK,SELL,56,3483,2025-05-14,Upstox
196,C122,Customer2,RELIANCE,BUY,14,1157,2025-06-15,Zerodha
197,C115,Customer7,HDFCBANK,SELL,24,896,2025-03-28,Upstox
198,C108,Customer2,RELIANCE,BUY,54,558,2025-03-15,Groww
199,C108,Customer7,TCS,BUY,4,3979,2025-04-27,Groww
200,C114,Customer19,RELIANCE,SELL,68,1962,2025-04-27,Zerodha
